"fpr","tpr"
0.133421400264201,0.972451790633609
0.133421400264201,0.971074380165289
0.133421400264201,0.96969696969697
0.132100396301189,0.96969696969697
0.130779392338177,0.96969696969697
0.129458388375165,0.96969696969697
0.129458388375165,0.96831955922865
0.128137384412153,0.96831955922865
0.126816380449141,0.96831955922865
0.125495376486129,0.96831955922865
0.124174372523118,0.96831955922865
0.124174372523118,0.966942148760331
0.124174372523118,0.965564738292011
0.122853368560106,0.965564738292011
0.122853368560106,0.964187327823691
0.122853368560106,0.962809917355372
0.122853368560106,0.961432506887052
0.122853368560106,0.960055096418733
0.121532364597094,0.960055096418733
0.120211360634082,0.960055096418733
0.120211360634082,0.958677685950413
0.120211360634082,0.957300275482094
0.120211360634082,0.955922865013774
0.11889035667107,0.955922865013774
0.117569352708058,0.955922865013774
0.116248348745046,0.955922865013774
0.116248348745046,0.954545454545455
0.114927344782034,0.954545454545455
0.114927344782034,0.953168044077135
0.113606340819022,0.953168044077135
0.112285336856011,0.953168044077135
0.112285336856011,0.951790633608815
0.112285336856011,0.950413223140496
0.110964332892999,0.950413223140496
0.109643328929987,0.950413223140496
0.109643328929987,0.949035812672176
0.109643328929987,0.947658402203857
0.108322324966975,0.947658402203857
0.108322324966975,0.946280991735537
0.108322324966975,0.944903581267218
0.107001321003963,0.944903581267218
0.105680317040951,0.944903581267218
0.104359313077939,0.944903581267218
0.103038309114927,0.944903581267218
0.103038309114927,0.943526170798898
0.103038309114927,0.942148760330578
0.103038309114927,0.940771349862259
0.103038309114927,0.939393939393939
0.101717305151915,0.939393939393939
0.101717305151915,0.93801652892562
0.101717305151915,0.9366391184573
0.101717305151915,0.935261707988981
0.101717305151915,0.933884297520661
0.101717305151915,0.932506887052342
0.101717305151915,0.931129476584022
0.101717305151915,0.929752066115702
0.101717305151915,0.928374655647383
0.100396301188904,0.928374655647383
0.0990752972258917,0.928374655647383
0.0990752972258917,0.926997245179063
0.0990752972258917,0.925619834710744
0.0977542932628798,0.925619834710744
0.0977542932628798,0.924242424242424
